"24.5800146997376","60.1973954608811","Suur-Kauklahti",""
"24.7465551998552","60.15219141669","Suur-Matinkylä",""
"24.7993332889894","60.1741848681929","Suur-Tapiola",""
"24.5874810592073","60.2542354953242","Vanha-Espoo",""
"24.7095342052403","60.2142277217481","Kauniainen",""
"24.6789542363475","60.3033149408373","Pohjois-Espoo",""
"24.771251752057","60.2331426011288","Suur-Leppävaara",""
"24.8811454532407","60.2189033295239","Läntinen",""
"24.7614514486605","60.0454642776318","Suur-Espoonlahti",""
"24.8268110915511","60.2834542648927","Myyrmäki",""
"24.843470333792","60.3428823210238","Kivistö",""
"24.9021796568687","60.1101681321218","Eteläinen",""
"25.0923899461996","60.3530686631393","Korso",""
"25.0767965030886","60.070927091634","Kaakkoinen",""
"24.9566654492544","60.1994970968486","Keskinen",""
"24.9422853526642","60.2479173294243","Pohjoinen",""
"25.012936613975","60.2437897613955","Koillinen",""
"24.9299253957691","60.3014423944488","Aviapolis",""
"25.138258429568","60.2077140094646","Itäinen",""
"25.1872255309158","60.2623854933353","Östersundom",""
"25.0407869297201","60.298583030209","Tikkurila",""
"25.0683128412802","60.3240591686135","Koivukylä",""
"25.1403973187578","60.2829491706276","Hakunila",""
